prefix,AS_path,origin_AS,authorized_ASes_in_ROAs,benign_level,explanation,possible_reason,factors,justification
154.201.95.214/32,N/A,AS666666,"['AS401696', 'AS401701', 'AS18013', 'AS40779', 'AS55933', 'AS137899', 'AS142032']",Low,"The origin AS (AS666666) is unallocated and not currently announcing any prefixes, and it has no known economic, policy, or geographic relationship with any of the authorized ASes listed in the ROAs (AS401696, AS401701, AS18013, AS40779, AS55933, AS137899, AS142032). This lack of linkage suggests the announcement is likely a hijack rather than a benign configuration error.",Hijack attempt,"['Hijacks', 'Others (Unallocated AS usage)']",no relationship
154.201.95.219/32,N/A,AS666666,"['AS401696', 'AS401701', 'AS18013', 'AS40779', 'AS55933', 'AS137899', 'AS142032']",Low,"The origin AS666666 appears to be unallocated and is not currently announcing any prefixes. It has no known organizational, economic, or geographic relationship with any of the authorized ASes listed in the ROAs (AS401696, AS401701, AS18013, AS40779, AS55933, AS137899, AS142032). The route is invalid due to a maxLength mismatch, indicating a likely hijack rather than a benign conflict.",Likely hijack or unauthorized announcement.,"['Hijacks', 'Others (Unallocated AS announcing allocated space without clear relationship)']",no relationship
154.201.95.220/32,N/A,AS666666,"['AS401696', 'AS401701', 'AS18013', 'AS40779', 'AS55933', 'AS137899', 'AS142032']",Low,"The origin AS AS666666 is not allocated in the IANA registry and has no known business, organizational, or geographic ties to any of the authorized ASes listed in the ROAs (AS401696, AS401701, AS18013, AS40779, AS55933, AS137899, AS142032). No customer‑provider, sibling, or shared‑infrastructure relationship is evident, and the /32 prefix length further suggests an abnormal announcement. Consequently, the invalid route is most plausibly a misconfiguration or hijack rather than a benign conflict.",Potential hijack or unauthorized announcement due to an unallocated origin AS.,"['Hijacks', 'Others', 'Others (Unallocated AS announcing allocated space without clear relationship)']",no relationship
154.201.95.222/32,N/A,AS666666,"['AS401696', 'AS401701', 'AS18013', 'AS40779', 'AS55933', 'AS137899', 'AS142032']",Low,"The origin AS AS666666 is not listed in any ROA for the prefix, appears to be unallocated, and has no visible routing history or known economic or policy relationship with any of the authorized ASes (AS401696, AS401701, AS18013, AS40779, AS55933, AS137899, AS142032), which belong to separate organizations. Consequently, the announcement is invalid and lacks evidence of a benign conflict.",Potential hijack or unauthorized announcement.,"['Hijacks', 'Others', 'Others (Unallocated AS announcing allocated space without clear relationship)']",no relationship
154.201.95.228/32,N/A,AS666666,"['AS401696', 'AS401701', 'AS18013', 'AS40779', 'AS55933', 'AS137899', 'AS142032']",Low,"The origin AS (AS666666) is not listed in any of the ROAs for the prefix and appears to be an unallocated AS number according to the IANA registry. There is no known economic, policy, or geographic relationship between AS666666 and the authorized ASes, and the AS is not observed announcing other prefixes, indicating a lack of legitimate operational linkage.",Potential hijack or misconfiguration due to the use of an unallocated AS number.,"['Hijacks', 'Others', 'Others (Unallocated AS Number Misuse)']",no relationship
154.201.95.232/32,N/A,AS666666,"['AS401696', 'AS401701', 'AS18013', 'AS40779', 'AS55933', 'AS137899', 'AS142032']",Low,"The origin AS (AS666666) is not related to any of the authorized ASes in the ROAs, appears to be an unallocated AS number according to the IANA registry, and there is no evidence of a customer‑provider, sibling, or organizational relationship with the authorized ASes (which belong to entities such as High Family Technology Co., Limited and cognetcloud INC). Consequently, the invalid announcement is unlikely to be a benign conflict.",Potential hijack or misconfiguration.,"['Hijacks', 'Others', 'Others (Unallocated AS announcing allocated space without clear relationship)']",no relationship
154.207.144.0/20,N/A,AS7018,"['AS11404', 'AS17561']",Medium,"AS7018 is a major US ISP and the prefix is registered to AS11404, suggesting a delegated or upstream‑downstream announcement; the authorized ASes are likely customers or have a business relationship with AS7018, but there is no direct evidence of a provider‑customer or sibling link, and the situation may stem from historical mergers or multi‑origin configurations with partial ROA coverage.",Delegated/upstream-downstream announcements with partial ROA coverage,"['Delegated / Upstream-Downstream Announcements', 'Third-Party Announcements (CDNs, DDoS mitigation, cloud edges)', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential M&A Legacy Configuration)']",weak relationship
154.207.158.0/23,N/A,AS7018,"['AS11404', 'AS17561']",High,"The origin AS7018 is a large ISP (AT&T) and the authorized ASes in the ROAs are AS11404 (Wave Broadband) and AS17561, which are known customers or downstream providers of AS7018. The prefix is covered by a ROA for AS11404, indicating a delegated announcement from the customer to its upstream provider. Both parties operate in the United States, supporting a close geographic and business relationship, and the overlap likely results from a legitimate upstream‑downstream configuration rather than a malicious hijack.",Delegated upstream-downstream announcement from the authorized AS to its provider AS7018.,"['Delegated / Upstream-Downstream Announcements', 'Prefix Transfer / Ownership Change', 'Multi-Origin with Partial ROA Coverage']",strong relationship
154.211.32.0/19,N/A,AS44559,['AS9294'],Medium,"The origin AS44559 announces the prefix while the ROA authorizes AS9294; there is no evidence of a same‑organization or direct provider‑customer relationship, and the two ASes operate in different regions. Both ASes are active and have announced other prefixes, suggesting the announcement could stem from a delegated or upstream‑downstream arrangement that is not reflected in the ROA, rather than a deliberate hijack.","Delegated/upstream-downstream announcement (e.g., third‑party or CDN edge) without updated ROA.","['Hijacks', 'Others', 'Delegated / Upstream-Downstream Announcements', 'Third-Party Announcements (CDNs, cloud edges)']",weak relationship
154.211.32.0/20,N/A,AS44559,['AS9294'],Medium,"The origin AS44559 and the authorized AS9294 have no direct business or organizational link, but both announce prefixes within the broader 154.211.0.0/16 block and are geolocated in Hong Kong, indicating regional proximity. Historical announcements by AS9294 suggest a possible past ownership or operational relationship, yet no evidence of a customer‑provider or sibling relationship is found. Consequently, the conflict is likely benign of medium confidence.",Possible delegated/upstream-downstream announcement or recent prefix transfer resulting in partial ROA coverage.,"['Hijacks', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Prefix Transfer / Ownership Change']",same region
154.211.47.0/24,N/A,AS44559,"['AS17561', 'AS9294']",Medium,"AS44559 announces the prefix while the ROA authorizes AS9294 (and AS17561). The prefix is a more specific of a larger block announced by AS9294, suggesting a possible upstream‑downstream relationship, but no direct provider‑customer or sibling link is confirmed. Both ASes operate in Hong Kong, indicating regional proximity, yet the evidence is insufficient to deem the conflict clearly benign.",Delegated / Upstream-Downstream Announcements,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential Regional Partnership)', 'Traffic Engineering / Deaggregate Mismatches']",weak relationship
154.211.48.0/20,N/A,AS44559,['AS9294'],High,"Both AS44559 and the authorized AS9294 are located in Hong Kong and announce prefixes within the larger 154.211.0.0/16 block. The /20 prefix is a more specific subdivision of the ROA‑authorized /19 (154.211.32.0/19), which is typical of delegated or downstream announcements, indicating a likely customer‑provider or subsidiary relationship despite the lack of explicit confirmation.",Delegated/upstream‑downstream announcement where AS44559 receives a more specific prefix from its provider AS9294.,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential Regional Partnership or Hosting Arrangement)']",strong relationship
154.211.49.0/24,N/A,AS44559,"['AS17561', 'AS9294']",Medium,"The origin AS44559 announces the /24 prefix that is a more specific of the /19 block (154.211.32.0/19) authorized to AS9294. Both AS44559 and AS9294 operate in Hong Kong, indicating regional proximity, and the prefix has been previously announced by AS44559, suggesting an operational link. However, there is no evidence of a shared organization, direct provider‑customer, or sibling relationship, and the authorized AS list also includes AS17561, which appears unrelated. Consequently, the conflict likely stems from delegated or upstream‑downstream multi‑origin usage rather than a malicious hijack.","Multi-origin with partial ROA coverage, possibly due to delegated upstream-downstream announcements of a more specific prefix.","['Hijacks', 'Others', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",same region
154.213.176.0/20,N/A,AS51396,['AS54801'],Low,"AS51396 (origin) and AS54801 (authorized) belong to different organizations and are registered in different RIRs (RIPE NCC vs ARIN), with no known customer‑provider, sibling, or other business relationship. Their geographic locations differ (Germany for AS51396 and Japan for AS54801), and although the prefix lies within a larger block also announced by AS54801, there is no evidence of shared infrastructure or operational coordination. Historical announcements by AS54801 suggest a possible past ownership change, but this does not establish a current legitimate relationship, making the conflict more likely a misconfiguration or hijack.","The conflict may stem from a delegated or upstream‑downstream announcement or a historical prefix transfer, but could also indicate a hijack.","['Third-Party Announcements (CDNs, DDoS mitigation, cloud edges)', 'Hijacks', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Prefix Transfer / Ownership Change']",no relationship
154.213.188.0/24,N/A,AS51396,['AS54801'],Medium,"The origin AS51396 and the authorized AS54801 are unrelated organizations with no known customer‑provider or sibling relationship. Both announce prefixes within the broader 154.213.0.0/16 block and the prefix is primarily observed in Tokyo, Japan, indicating a regional overlap. The presence of the prefix in both ASes suggests a possible delegated upstream/downstream or multi‑origin configuration, likely arising from operational complexity or oversight, but there is no evidence of a formal transfer or shared infrastructure.",The invalid route likely results from a delegated upstream/downstream or multi‑origin announcement caused by operational oversight.,"['Prefix Transfer / Ownership Change', 'Third-Party Announcements (CDNs, DDoS mitigation, cloud edges)', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Others (Operational Complexity/Oversight)']",same region
154.214.224.0/19,N/A,AS62387,['AS328608'],Low,"There is no evidence of a direct relationship between AS62387 (meerfarbig GmbH & Co. KG) and AS328608 (Africa-on-Cloud-AS); CAIDA relationship data is empty and no customer‑provider, sibling, or organizational link is found. Although both ASes have some presence in Hong Kong, this geographic overlap is weak and does not indicate a meaningful operational connection. Consequently, the invalid announcement is most likely unrelated and indicative of a misconfiguration or unauthorized route.","Likely a misconfiguration or unauthorized announcement, possibly due to delegated upstream/downstream or traffic engineering practices.","['Third-Party Announcements (CDNs, DDoS mitigation, cloud edges)', 'Delegated / Upstream-Downstream Announcements', 'Traffic Engineering / Deaggregate Mismatches', 'Prefix Transfer / Ownership Change']",no relationship
154.214.232.0/22,N/A,AS62387,['AS328608'],Medium,"There is no clear direct relationship between AS62387 and the authorized AS328608; they belong to different organizations and lack known provider‑customer ties. However, both ASes announce prefixes within the broader 154.214.0.0/16 block and the origin AS has been announcing the /22 for a considerable period, suggesting a possible legitimate multi‑origin or recent prefix transfer scenario rather than a malicious hijack.",Prefix transfer or multi‑origin configuration resulting in partial ROA coverage,"['Prefix Transfer / Ownership Change', 'Multi-Origin with Partial ROA Coverage', 'Delegated / Upstream-Downstream Announcements']",same region
154.216.192.0/18,N/A,AS9009,['AS61461'],Medium,"The origin AS (AS9009), a European provider, and the authorized AS (AS61461), based in Venezuela, have no documented customer‑provider, sibling, or organizational relationship and operate in different regions. While the prefix has historically been announced by AS61461, the current announcement by AS9009 could stem from a recent prefix transfer, delegated upstream/downstream announcement, or a misconfiguration, but there is no concrete evidence to suggest a benign relationship.",Possible prefix transfer or delegated upstream/downstream announcement.,"['Prefix Transfer / Ownership Change', 'Delegated / Upstream-Downstream Announcements', 'Third-Party Announcements (CDNs, cloud edges, etc.)', 'Multi-Origin with Partial ROA Coverage']",no relationship
154.216.250.0/24,N/A,AS9009,['AS61461'],Low,"AS9009 belongs to M247 Europe SRL while the authorized AS61461 belongs to Airtek Solutions C.A.; they are different organizations and geographically distant, with no evidence of a customer‑provider, sibling, or shared infrastructure relationship. The origin announces a more specific prefix of the authorized space, a pattern commonly seen in hijacks, and there is no operational linkage to suggest a benign configuration.",Likely a hijack or misconfiguration where AS9009 announces a more specific prefix of AS61461 without a known relationship.,"['Hijacks', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",no relationship
154.218.192.0/18,N/A,AS9009,['AS61461'],Low,"There is no clear evidence of a provider‑customer, sibling, or ownership relationship between AS9009 (M247 Europe SRL) and AS61461 (Airtek Solutions C.A.). While some models suggested a possible delegated or upstream/downstream arrangement, the available data does not confirm any operational or geographic ties, making a hijack or misconfiguration the more likely explanation.",Possible hijack or misconfiguration due to lack of relationship between the origin and authorized ASes.,"['Delegated / Upstream-Downstream Announcements', 'Others (Potential Partnership/Service Agreement not reflected in RPKI)', 'Hijacks', 'Misconfiguration']",no relationship
154.218.254.0/24,N/A,AS9009,['AS61461'],Medium,"AS9009 is announcing the more specific prefix 154.218.254.0/24 that falls within a larger block registered to AS61461, suggesting a delegated or upstream‑downstream arrangement; however, there is no direct evidence of ownership, customer‑provider, or sibling relationship, making the conflict possibly benign but not definitively so.",Delegated or upstream-downstream announcement,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Traffic Engineering / Deaggregate Mismatches']",weak relationship
154.219.5.0/24,N/A,AS209242,['AS17561'],High,"AS209242 is announcing the prefix 154.219.5.0/24 while the ROA authorizes AS17561, indicating a delegated or upstream‑downstream relationship, likely through a third‑party CDN or cloud service that both parties share. Supporting evidence includes recent RIPEstat updates for AS17561 on this prefix, geographic concentration in a single country, and the common practice of such providers announcing customer prefixes on their own ASes.",Delegated/upstream‑downstream announcement via a third‑party CDN service.,"['Third-Party Announcements (CDNs, DDoS mitigation, cloud edges)', 'Delegated / Upstream-Downstream Announcements', 'Traffic Engineering / Deaggregate Mismatches']",strong relationship
154.223.144.0/20,N/A,AS137443,['AS17561'],High,"AS137443 announces a more specific prefix that falls within the block authorized to AS17561, indicating a delegated upstream‑downstream relationship. Both ASes operate in the APNIC region and the pattern of more specific announcements by the downstream AS is consistent with legitimate customer‑provider or subsidiary arrangements, despite the lack of explicit ownership data.",Delegated upstream-downstream announcement with partial ROA coverage,"['Delegated / Upstream-Downstream Announcements', 'Prefix Transfer / Ownership Change', 'Multi-Origin with Partial ROA Coverage']",strong relationship
154.223.148.0/23,N/A,AS137443,['AS17561'],Medium,"The origin AS (AS137443) announces the prefix while the ROA authorizes AS17561. Both ASes operate in the same geographic region (Malaysia) and there are indications of a delegated or upstream‑downstream relationship, possibly stemming from a prefix transfer or multi‑origin setup, but no direct evidence of a formal customer‑provider or same‑organization link is available.","The conflict likely stems from a delegated or upstream‑downstream arrangement (e.g., prefix transfer or multi‑origin) where the ROA does not reflect the current origin AS.","['Prefix Transfer / Ownership Change', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",same region
154.83.103.0/24,N/A,AS211590,['AS17561'],Medium,"The origin AS AS211590 announces the prefix while the ROA authorizes AS17561; there is no documented customer‑provider or organizational link between them. Although the prefix has previously been announced by AS17561, suggesting a historical or operational connection, no clear evidence of malicious intent is observed. The situation may stem from delegated or upstream‑downstream announcements, third‑party hosting, or a recent prefix transfer, leading to an RPKI‑invalid route without a strong relationship.",Likely a delegated/upstream‑downstream announcement or recent prefix transfer rather than an intentional hijack.,"['Hijacks', 'Delegated / Upstream-Downstream Announcements', 'Third-Party Announcements (CDNs, cloud edges, hosting)', 'Prefix Transfer / Ownership Change', 'Multi-Origin with Partial ROA Coverage']",weak relationship
154.83.184.0/23,N/A,AS19318,"['AS20326', 'AS17561']",Medium,"The origin AS (AS19318) announces a prefix that is authorized to AS20326 and AS17561. While there is no clear evidence of a same‑organization or direct provider‑customer relationship, the ASes share the same ARIN allocation and have previously announced the prefix, indicating a possible historical or delegated relationship and suggesting the invalid route may stem from a misconfiguration or ownership change rather than a malicious hijack.",Prefix transfer or delegated upstream/downstream announcement.,"['Delegated / Upstream-Downstream Announcements', 'Traffic Engineering / Deaggregate Mismatches', 'Multi-Origin with Partial ROA Coverage', 'Prefix Transfer / Ownership Change', 'Others (Possible Misconfiguration or Outdated ROA Records)']",same region
154.86.3.0/24,N/A,AS132883,['AS17561'],Medium,"The origin AS (AS132883) and the authorized AS (AS17561) have no directly documented relationship, but both operate within the AFRINIC region and the prefix has a history of delegated or upstream‑downstream announcements and possible ownership transfers, leading to partial ROA coverage. This suggests a benign conflict is plausible, though the evidence is not strong enough for a high confidence assessment.",Delegated/upstream-downstream announcement leading to partial ROA coverage.,"['Delegated / Upstream-Downstream Announcements', 'Prefix Transfer / Ownership Change', 'Multi-Origin with Partial ROA Coverage']",same region
154.94.236.0/23,N/A,AS44559,"['AS8796', 'AS40779', 'AS137899', 'AS142032', 'AS395886', 'AS401696', 'AS401701']",Medium,"The origin AS 44559 is not listed in the ROAs, which contain several other ASes. There is no clear organizational or provider‑customer link between AS44559 and the authorized ASes, but the prefix has been announced by some of them in the past and the situation may stem from delegated upstream‑downstream announcements or a misconfiguration during a prefix transfer, resulting in a multi‑origin scenario with partial ROA coverage.",Multi‑origin with partial ROA coverage likely due to delegated/upstream‑downstream announcements or a misconfiguration during a prefix transfer.,"['Prefix Transfer / Ownership Change', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",weak relationship
154.94.237.0/24,N/A,AS44559,"['AS17561', 'AS8796', 'AS40779', 'AS137899', 'AS142032', 'AS395886', 'AS401696', 'AS401701']",Low,"The origin AS44559 shows no direct organizational, customer‑provider, or sibling relationship with any of the authorized ASes listed in the ROAs. Although there is a history of related prefix announcements that could suggest an upstream‑downstream or peer connection, no concrete evidence links AS44559 to the ROA‑holding ASes for this specific prefix, indicating the conflict is most likely a misconfiguration or unauthorized announcement.",Likely a misconfiguration or unauthorized announcement rather than a legitimate delegated relationship.,"['Hijacks', 'Others', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Prefix Transfer / Ownership Change']",no relationship
154.94.238.0/23,N/A,AS44559,"['AS8796', 'AS40779', 'AS137899', 'AS142032', 'AS395886', 'AS401696', 'AS401701']",Medium,"The origin AS (AS44559) is not listed in the ROA, but the prefix belongs to a larger block (154.94.224.0/20) announced by several ASes that appear to be related through delegated or upstream-downstream relationships. Some authorized ASes (e.g., AS401696, AS401701) share the same holder name, suggesting possible shared infrastructure or organizational ties, while the overall pattern points to a likely misconfiguration or incomplete ROA update after a prefix transfer.","Potential misconfiguration or incomplete ROA setup within a closely related group of ASes, possibly due to delegated or upstream-downstream announcements.","['Prefix Transfer / Ownership Change', 'Multi-Origin with Partial ROA Coverage', 'Delegated / Upstream-Downstream Announcements', 'Others (Possible Shared Infrastructure or Organizational Relationship without Publicly Visible Direct AS Relationship)']",weak relationship
154.94.239.0/24,N/A,AS44559,"['AS17561', 'AS8796', 'AS40779', 'AS137899', 'AS142032', 'AS395886', 'AS401696', 'AS401701']",Medium,"The origin AS44559 does not share a direct organizational link with any of the authorized ASes listed in the ROAs. However, the prefix belongs to a larger address block that is also announced by several of those ASes, indicating possible upstream/downstream or multi‑origin arrangements. This circumstantial overlap suggests a potential benign conflict, though the evidence is not definitive, leading to a Medium benign level.",Multi-origin or upstream/downstream delegation resulting in incomplete ROA coverage,"['Third-Party Announcements (CDNs, DDoS mitigation, cloud edges)', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",weak relationship
154.94.240.0/20,N/A,AS44559,['AS11427'],Low,"There is no evidence of a direct relationship between AS44559 (IT HOSTLINE LTD) and AS11427 (Charter Communications). The prefix is correctly assigned to AS11427, and the announcement from AS44559 lacks any known provider‑customer, organizational, or regional ties, indicating a likely unauthorized use.",Hijack or misconfiguration,"['Hijacks', 'Multi-Origin with Partial ROA Coverage', 'Delegated / Upstream-Downstream Announcements', 'Others (Potential Misconfiguration or Overlooked ROA Update)']",no relationship
154.94.243.0/24,N/A,AS44559,"['AS17561', 'AS11427']",Medium,"The origin AS44559 announces 154.94.243.0/24, which is RPKI‑invalid because the ROAs authorize AS17561 and AS11427. There is no direct business relationship between AS44559 and the authorized ASes, but the announced prefix is a more specific of a larger block (154.94.240.0/20) owned by AS11427 (Charter Communications), suggesting a possible delegated or upstream‑downstream arrangement. Both ASes are US‑based, indicating geographic proximity, yet no evidence of same organization or explicit provider‑customer ties exists, making the conflict likely benign but not definitively so.",Delegated/upstream-downstream announcement causing multi-origin with partial ROA coverage,"['Others', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",weak relationship
155.117.117.0/24,N/A,AS397032,['AS215703'],Medium,"AS397032 and AS215703 both announce the prefix, but there is no confirmed provider‑customer, sibling, or same‑organization relationship; they are registered in different RIRs (ARIN vs RIPE) and located in different regions (US vs UK). The conflict may stem from a recent prefix transfer or a delegated/upstream‑downstream arrangement that has not been reflected in the ROA, leading to partial ROA coverage.","The origin AS may be announcing the prefix after acquiring it or on behalf of the authorized AS, but the ROA has not been updated.","['Prefix Transfer / Ownership Change', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",weak relationship
155.117.55.0/24,N/A,AS206378,['AS399073'],Medium,"The origin AS AS206378 and the authorized AS AS399073 are not directly linked as customer‑provider or sibling, but both have been involved in recent transfers of the 155.117.55.0/24 prefix and may operate in a delegated or upstream‑downstream arrangement, resulting in partial ROA coverage. This operational overlap explains the mismatch without clear malicious intent.",Recent prefix transfer or ownership change causing the ROA mismatch.,"['Prefix Transfer / Ownership Change', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",weak relationship
156.224.0.0/24,N/A,AS149641,['AS17561'],High,"The origin AS (AS149641) and the authorized AS (AS17561) are administratively linked—AS149641’s IRR record is maintained by LARUS‑SERVICE‑MNT, indicating a direct relationship such as provider‑customer or sibling. Both ASes have been observed announcing the prefix, and the ROA only covers AS17561, suggesting the conflict arises from delegated/upstream‑downstream announcements or an outdated ROA rather than a malicious hijack.",Multi-origin with partial ROA coverage due to delegated/upstream-downstream announcements.,"['Prefix Transfer / Ownership Change', 'Multi-Origin with Partial ROA Coverage', 'Delegated / Upstream-Downstream Announcements']",strong relationship
156.224.32.0/19,N/A,AS400619,['AS137951'],High,"AS400619 and AS137951 are linked to the same organization (Arosscloud Inc) and are both registered in Hong Kong, indicating a strong organizational and regional relationship. AS400619 announces a more specific prefix within the same block, suggesting a delegated or upstream‑downstream arrangement, and historical IRR records show ownership or partnership ties between the two entities, supporting a benign configuration rather than a malicious hijack.",Delegated announcement or multi‑origin configuration due to partnership or ownership transfer between related ASes.,"['Delegated / Upstream-Downstream Announcements', 'Prefix Transfer / Ownership Change', 'Multi-Origin with Partial ROA Coverage']",same organization
156.224.48.0/20,N/A,AS400619,['AS137951'],High,"Both AS400619 and AS137951 are registered to Arosscloud Inc., indicating a strong organizational link; they have historically announced related prefixes, suggesting an operational relationship and likely internal delegation or recent ownership transfer rather than malicious intent.",Multi-origin configuration due to internal delegation or recent ownership transfer,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Possible recent organizational changes or mergers', 'Prefix Transfer / Ownership Change']",same organization
156.228.0.0/16,N/A,AS32043,['AS17561'],Medium,"Both analyses note circumstantial evidence of a relationship: RIPEstat data shows AS32043 and AS17561 announce sub‑prefixes of 156.228.0.0/16, suggesting a possible delegated upstream/downstream arrangement or shared resource, but there is no confirmed provider‑customer, sibling, or same‑organization link.",Delegated/upstream‑downstream announcements or shared resource leading to multi‑origin with partial ROA coverage.,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",weak relationship
156.228.16.0/23,N/A,AS32043,"['AS3257', 'AS17561']",Medium,"There is no direct evidence of a same‑organization or clear provider‑customer relationship between AS32043 and the authorized ASes (AS3257, AS17561). However, AS32032 is announcing a more specific prefix within a larger block owned by AS3257, both operate in the United States, and the prefix has historically been announced by AS3257, suggesting a possible downstream or recent ownership/transfer relationship and traffic‑engineering practices.",Possible downstream announcement or recent prefix transfer.,"['Hijacks', 'Delegated / Upstream-Downstream Announcements', 'Traffic Engineering / Deaggregate Mismatches', 'Prefix Transfer / Ownership Change', 'Multi-Origin with Partial ROA Coverage']",weak relationship
156.228.17.0/24,N/A,AS32043,"['AS3257', 'AS17561']",Medium,"The origin AS (AS32043) announces a more specific prefix of a larger block announced by AS3257, and both ASes operate in the United States (Los Angeles area). While a direct provider‑customer or same‑organization relationship is not confirmed, the pattern suggests a delegated upstream‑downstream arrangement that can result in multi‑origin announcements with incomplete ROA coverage, indicating a likely benign conflict of medium confidence.",Delegated upstream-downstream announcements causing multi‑origin with partial ROA coverage,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",same region
156.228.48.0/21,N/A,AS32043,['AS17561'],Medium,"The origin AS (AS32043) and the authorized AS (AS17561) are distinct entities with no confirmed provider‑customer, sibling, or same‑organization relationship. Both operate in the Kuala Lumpur, Malaysia region, and the prefix may be announced through delegated or upstream/downstream arrangements, leading to a possible misconfiguration or incomplete ROA coverage.",A misconfiguration or incomplete ROA due to multi‑origin or delegated announcements between the two ASes.,"['Delegated / Upstream-Downstream Announcements', 'Prefix Transfer / Ownership Change', 'Multi-Origin with Partial ROA Coverage']",same region
156.233.64.0/18,N/A,AS140951,['AS17561'],High,"The origin AS AS140951 and the authorized AS AS17561 are both associated with the same organization (IPTP Limited/LARUS), indicating a delegated or upstream‑downstream relationship. This close organizational tie suggests the invalid route is likely a benign conflict caused by a misconfiguration or incomplete ROA update within related ASes.","Delegated or upstream‑downstream announcement where AS140951 is a customer or subsidiary of AS17561, possibly due to misconfiguration.","['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",same organization
156.235.51.0/24,N/A,AS5065,['AS17561'],High,"Both AS5065 and the authorized AS17561 announce the prefix 156.235.51.0/24, and IRR records show a common maintainer (LARUS-SERVICE-MNT), indicating a close operational relationship such as a business partnership or delegated upstream/downstream arrangement, which points to a likely benign conflict rather than a malicious hijack.",Delegated or upstream/downstream announcement due to a business partnership or prefix transfer between AS5065 and AS17561.,"['Prefix Transfer / Ownership Change', 'Multi-Origin with Partial ROA Coverage', 'Delegated / Upstream-Downstream Announcements']",strong relationship
156.239.16.0/21,N/A,AS4766,['AS17561'],Low,"The origin AS (AS4766) and the authorized AS (AS17561) have no known direct relationship; AS4766 is a large carrier (Korea Telecom) while AS17561 is a smaller provider (LARUS). Although some prefix descriptions suggest a possible shared customer, there is no evidence of a provider‑customer, sibling, or organizational link. Multiple origins for the prefix indicate a legitimate operational reason may exist, but the overall evidence is insufficient to consider the conflict benign.","Multi-origin announcement with partial ROA coverage, possibly arising from delegated or upstream-downstream announcements.","['Prefix Transfer / Ownership Change', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",no relationship
156.239.19.0/24,N/A,AS4766,"['AS44559', 'AS17561']",Medium,"The origin AS (AS4766) and the authorized ASes (AS44559, AS17561) have no confirmed direct provider‑customer or sibling relationship, but both ASes have announced the prefix and share some IRR metadata, suggesting a possible business or operational link. The evidence is circumstantial and does not demonstrate a strong organizational tie, leading to a medium assessment of benignity.","Multi-Origin with Partial ROA Coverage, possibly due to delegated/upstream-downstream announcements or misconfiguration.","['Hijacks', 'Multi-Origin with Partial ROA Coverage', 'Delegated / Upstream-Downstream Announcements', 'Others (Complex Organizational Structures)']",weak relationship
156.239.48.0/22,N/A,AS397630,"['AS8796', 'AS18013', 'AS54600', 'AS55020', 'AS395886', 'AS400619', 'AS17561']",Low,"The origin AS (AS397630) is associated with Blazing SEO and has no known direct customer‑provider, sibling, or organizational relationship with any of the authorized ASes listed in the ROAs, which belong to different companies such as Fastnet Data Inc and AROSSCLOUD INC. Although the authorized ASes operate in cloud or hosting services, there is no concrete evidence of shared infrastructure or a formal partnership that would justify the announcement, making the conflict appear unauthorized.",Likely an unauthorized announcement or hijack.,"['Hijacks', 'Multi-Origin with Partial ROA Coverage', 'Delegated / Upstream-Downstream Announcements', 'Third-Party Announcements (CDNs, cloud edges)']",no relationship
