prefix,AS_path,origin_AS,authorized_ASes_in_ROAs,benign_level,explanation,possible_reason,factors,aggregation_confidence,model_agreement_summary
172.252.158.0/24,N/A,AS44477,['AS214271'],Medium,"The announcement is RPKI‑invalid because the origin AS (AS44477) does not match the authorized AS (AS214271) in the ROA. All three analyses note that AS44477 has a history of prefix transfers and that AS214271 previously announced the same prefix, suggesting a recent ownership or operational change that has not yet been reflected in the ROA. No direct provider‑customer, sibling, or same‑organization relationship is evident, but the circumstantial evidence points to a benign conflict arising from a transfer or misconfiguration.",The conflict likely results from a recent prefix transfer or ownership change that has not been reflected in the ROA.,"['Prefix Transfer / Ownership Change', 'Delegated / Upstream-Downstream Announcements', 'Others (Potential Historical Relationship Misconfiguration)', 'Multi-Origin with Partial ROA Coverage']",,
172.252.159.0/24,N/A,AS60721,['AS214238'],Low,"There is no evidence of a close relationship between AS60721 and the authorized AS214238; they belong to different organizations in different countries (Turkey and France) and no provider‑customer, sibling, or corporate ties are known. Although AS214238 has previously announced the prefix, the lack of concrete operational or contractual links and only generic possibilities such as misconfiguration or delegated announcements indicate the invalid route is unlikely to be a benign conflict.",The invalid announcement is likely due to a misconfiguration or a delegated upstream‑downstream announcement.,"['Others', 'Delegated / Upstream-Downstream Announcements', 'Third-Party Announcements (CDNs, cloud edges)', 'Others (Complex Operational Setup/Misconfiguration)', 'Prefix Transfer / Ownership Change']",,
172.98.160.0/24,N/A,AS22773,"['AS7029', 'AS399989']",Medium,"AS22773 (Cox Communications) and the authorized ASes AS7029 (Windstream Communications) and AS399989 are US‑based ISPs operating in the same market, which suggests possible upstream/downstream or shared infrastructure relationships. IRR records show both origin and authorized ASes listed for the prefix, indicating a multi‑origin or delegated announcement scenario. However, there is no concrete evidence of a same‑organization or direct provider‑customer link, so the benign likelihood is assessed as medium.",Delegated/upstream‑downstream announcement or multi‑origin configuration leading to partial ROA coverage.,"['Prefix Transfer / Ownership Change', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential Historical or Indirect AS Relationships)']",,
172.98.163.0/24,N/A,AS22773,"['AS7029', 'AS399989']",Medium,"The origin AS (AS22773) is not listed as a direct provider, customer, or sibling of the authorized ASes (AS7029, AS399989). However, all three operate in the United States telecommunications sector, and IRR records show that AS22773 and AS7029 have been co‑listed for this prefix, suggesting a possible indirect or historical business relationship and shared infrastructure. The prefix is also announced by multiple ASes, indicating a multi‑origin configuration. These factors point to a potential benign relationship, but the lack of explicit contractual or organizational ties prevents a high‑confidence assessment.","Multi‑origin announcement with partial ROA coverage, possibly due to upstream/downstream delegation or misconfiguration.","['Hijacks', 'Others', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential Historical or Indirect AS Relationships)']",,
172.98.188.0/24,N/A,AS22773,"['AS7029', 'AS399989']",Medium,"The origin AS22773 (Cox Communications) and the authorized ASes AS7029 (Windstream Communications) and AS399989 belong to major US telecommunications providers. IRR records and multi‑origin announcements suggest possible upstream/downstream or delegated relationships, but there is no direct evidence of a customer‑provider, sibling, or same‑organization link. Consequently, the situation points to a likely benign conflict of medium confidence rather than a clear hijack.","Multi‑origin announcement with partial ROA coverage, possibly due to delegated upstream/downstream relationships or misconfiguration.","['Hijacks', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Others (Complex Telecommunications Provider Relationships)']",,
172.98.191.0/24,N/A,AS22773,"['AS7029', 'AS399989']",Medium,"The origin AS22773 (Cox Communications) announces the prefix while the ROAs authorize AS7029 (Windstream) and AS399989. Both AS22773 and AS7029 are large US ISPs, suggesting a possible upstream‑downstream or delegated arrangement, and the prefix is observed from multiple origins, indicating a multi‑origin setup. However, there is no evidence of a same‑organization or direct customer‑provider relationship, and the connection appears indirect, leading to a medium benign likelihood.","Delegated/upstream-downstream announcements, possibly involving multi-origin with partial ROA coverage.","['Delegated / Upstream-Downstream Announcements', 'Third-Party Announcements (CDNs, DDoS mitigation, cloud edges)', 'Multi-Origin with Partial ROA Coverage', 'Others (Complex Telecommunications Provider Relationships)']",,
177.105.231.0/24,N/A,AS268952,['AS262313'],Medium,"Both AS268952 and the authorized AS262313 are registered in Brazil under LACNIC, and the /24 prefix historically belongs to AS262313. AS268952 is announcing a sub‑prefix, which suggests a possible delegated or upstream‑downstream relationship, but there is no explicit evidence of a customer‑provider or sibling link, and the AS path information is unavailable, making the relationship uncertain.",Delegated/upstream-downstream announcement,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential Misconfiguration or Incomplete ROA Setup)', 'Traffic Engineering / Deaggregate Mismatches']",,
177.11.69.0/24,N/A,AS271624,['AS262872'],Medium,"Both AS271624 and AS262872 are Brazilian telecom operators announcing a more specific prefix that is not covered by the ROA. The likely cause is a delegated or upstream‑downstream relationship or a partial ROA configuration error between the two related ASes. While there is no direct evidence of ownership or a formal provider‑customer contract, their geographic proximity and similar business domains suggest a possible benign conflict.",Delegated/upstream‑downstream announcement or partial ROA coverage due to misconfiguration between related Brazilian ASes.,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential Misconfiguration between related ASes)']",,
177.222.212.0/22,N/A,AS263397,['AS273309'],Medium,"The origin AS263397 does not currently announce any prefixes, while the authorized AS273309 actively announces the covering less‑specific prefix 177.222.208.0/21. The announced /22 is a more specific of that covering prefix, and both ASes are allocated by LACNIC, suggesting a possible recent transfer or operational change rather than a malicious hijack. No direct provider‑customer, sibling, or organizational link is evident, indicating the conflict is likely benign but not strongly substantiated.",Likely due to a recent prefix transfer or ownership change resulting in a misconfiguration.,"['Prefix Transfer / Ownership Change', 'Multi-Origin with Partial ROA Coverage', 'Delegated / Upstream-Downstream Announcements', 'Others (Potential Misconfiguration or Incomplete ROA Setup)']",,
177.73.129.0/24,N/A,AS267047,['AS271624'],Medium,"Both AS267047 and AS271624 are located in Brazil and are LACNIC‑assigned, indicating geographic proximity. IRR records suggest a possible customer‑provider or sibling relationship (e.g., references to ""CLARO S.A. Customer""), but no definitive AS‑relationship data is available. The prefix is announced by both ASes, which may reflect a multi‑origin configuration with partial ROA coverage rather than a malicious hijack.","Delegated/upstream‑downstream announcements, potentially involving a multi‑origin configuration with partial ROA coverage.","['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential Misconfiguration or Incomplete ROA Setup)']",,
177.75.39.0/24,N/A,AS264100 (RIO CABLE TELECOM LTDA),['AS262808 (Brasilnet Telecomunicacoes Ltda ME)'],High,"Both the origin AS (AS264100) and the authorized AS (AS262808) are Brazilian entities registered in LACNIC, and the announced /24 is a more specific of the /21 prefix owned by the authorized AS, indicating a likely provider‑customer or sibling relationship that makes the ROA conflict benign despite the lack of AS‑path data.",Delegated/upstream-downstream announcements causing a multi-origin conflict with partial ROA coverage.,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Prefix Transfer / Ownership Change']",,
177.84.20.0/22,N/A,AS266603,['AS52715'],High,"Both AS266603 and the authorized AS52715 operate in Brazil and appear to have a provider‑customer relationship, as indicated by IRR records and shared AS‑path entries. The prefix has been consistently announced by AS52715 since 2013, and the recent announcement by AS266603 likely stems from delegated/upstream‑downstream configuration or traffic‑engineering practices rather than a malicious hijack.",Delegated/upstream‑downstream announcement due to a provider‑customer relationship and possible misconfiguration.,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Traffic Engineering / Deaggregate Mismatches']",,
177.84.20.0/23,N/A,AS266603,['AS52715'],High,"The origin AS (AS266603) is a customer of the authorized AS (AS52715), indicating a provider‑customer relationship; both ASes are registered in Brazil (LACNIC region), and the announced /23 is a more specific of the authorized /22 prefix that AS52715 has historically announced. IRR remarks confirm the customer relationship and there is no evidence of recent ownership changes or suspicious activity, suggesting a legitimate delegated upstream‑downstream announcement.",Delegated / Upstream-Downstream Announcements,"['Delegated / Upstream-Downstream Announcements', 'Traffic Engineering / Deaggregate Mismatches']",,
177.84.20.0/24,N/A,AS266603,['AS52715'],High,"Both AS266603 and the authorized AS52715 operate in Brazil and are assigned by LACNIC. IRR records and RIPEstat data indicate a clear provider‑customer relationship, with AS52715 historically announcing the larger /22 prefix and AS266603 announcing the more specific /24 prefix as a downstream customer. This pattern matches a legitimate delegated or upstream‑downstream announcement rather than a malicious hijack.",Delegated or upstream‑downstream announcement by a downstream customer.,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",,
177.84.21.0/24,N/A,AS266603,['AS52715'],High,"The origin AS (AS266603) and the authorized AS (AS52715) are closely linked through a provider‑customer relationship, both operating in Brazil. IRR records and RIPEstat data confirm this upstream‑downstream relationship, and the announcement of the sub‑prefix by the customer AS is a typical delegated scenario, indicating a benign conflict rather than a malicious hijack.",Provider‑customer delegated announcement,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",,
177.84.22.0/23,N/A,AS266603,['AS52715'],High,"Both AS266603 and AS52715 are Brazilian ISPs and IRR records show a clear provider‑customer relationship, with AS266603 listed as a customer of AS52715. The prefix has been consistently announced by the authorized AS, and the downstream announcement by the customer aligns with typical delegated routing practices. No recent ownership changes or suspicious patterns are observed, indicating a legitimate business arrangement rather than a hijack.","Delegated/upstream-downstream announcements, possibly due to a misconfigured ROA that does not include the downstream customer AS.","['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",,
177.84.22.0/24,N/A,AS266603,['AS52715'],High,"AS266603 appears to be a downstream customer of AS52715, as indicated by IRR remarks and the AS path of more specific routes. Both ASes are registered in Brazil, share the same regional infrastructure, and the authorized AS historically announces the broader 177.84.20.0/22 block that includes the /24 prefix. The ROA mismatch likely stems from a delegated/upstream‑downstream announcement where the ROA was not updated for the customer AS, making the conflict benign.",Delegated / Upstream-Downstream Announcements,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",,
177.84.23.0/24,N/A,AS266603,['AS52715'],High,"The origin AS (AS266603) and the authorized AS (AS52715) are both registered in Brazil and operate within the same network ecosystem; evidence from LACNIC records, IRR entries, and RIPEstat shows a provider‑customer or upstream‑downstream relationship, with the authorized AS historically announcing the broader 177.84.20.0/22 prefix that includes the /24 in question, indicating a legitimate delegation rather than a hijack.","Delegated/upstream‑downstream announcement, possibly due to a misconfigured ROA for a legitimate customer route.","['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",,
178.236.228.0/24,N/A,AS23674,['AS35916'],Medium,"The announcement is RPKI‑invalid because the origin AS23674 does not match the ROA‑authorized AS35916. No direct provider‑customer, sibling, or same‑organization relationship is evident between the two ASes. The mismatch is likely due to a configuration error, a delegated upstream/downstream arrangement, or a recent prefix ownership/transfer change, which can produce multi‑origin or partial ROA coverage. Consequently, while the event is probably benign, the evidence is not strong enough for a high confidence rating.",The conflict most likely stems from a misconfiguration or recent delegation/ownership change causing an invalid announcement.,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential Misconfiguration or Incomplete ROA Setup)', 'Prefix Transfer / Ownership Change', 'Traffic Engineering / Deaggregate Mismatches']",,
179.0.143.0/24,N/A,AS28075,['AS27875'],High,"The origin AS (AS28075) and the authorized AS (AS27875) are both located in Argentina, indicating geographic proximity. The announced prefix (179.0.143.0/24) is a more specific subprefix of the ROA's prefix (179.0.136.0/21) authorized to AS27875, suggesting a delegated or upstream‑downstream relationship, possibly due to a prefix transfer. Historical routing shows the prefix was previously announced by AS27875, and there is no evidence of malicious intent or suspicious AS‑path behavior, supporting the assessment of a benign conflict.",Delegated/upstream-downstream announcement resulting from a prefix transfer or deaggregation.,"['Prefix Transfer / Ownership Change', 'Delegated / Upstream-Downstream Announcements', 'Traffic Engineering / Deaggregate Mismatches', 'Multi-Origin with Partial ROA Coverage']",,
179.124.130.0/24,N/A,AS37468,['AS263612'],Low,"AS37468 (Angola Cables) announced the prefix while the ROA authorizes AS263612 (IP Carrier in Brazil). The two operators have no known business or organizational relationship, are located in different continents, and there is no evidence of a provider‑customer, sibling, or peering agreement. Although some models suggested possible delegated or traffic‑engineering scenarios, the lack of concrete linkage and the historical announcements by the authorized AS point toward an unauthorized announcement rather than a benign configuration.",Hijack (unauthorized announcement),"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Traffic Engineering / Deaggregate Mismatches', 'Others (Potential Interconnection/Peering without Updated ROA Configurations)', 'Hijacks']",,
179.61.138.0/24,N/A,AS211826,['AS211301'],Medium,"The origin AS (AS211826) and the authorized AS (AS211301) are both registered in the RIPE NCC region, indicating a possible regional relationship. Recent prefix transfer or ownership changes and the presence of delegated or third‑party announcements suggest that the ROA may be outdated, but there is no evidence of a direct provider‑customer or same‑organization link, and the lack of AS‑path data prevents confirmation.",Recent prefix transfer or delegated upstream/downstream announcement resulting in an outdated ROA.,"['Prefix Transfer / Ownership Change', 'Delegated / Upstream-Downstream Announcements', 'Third-Party Announcements (CDNs, cloud edges)', 'Others (Potential for recent, unrecorded changes in AS relationships or operations)', 'Multi-Origin with Partial ROA Coverage']",,
179.61.140.0/24,N/A,AS215817,['AS834'],Medium,"The /24 prefix was transferred from LACNIC to RIPE NCC and is now geolocated in the UAE. The origin AS (AS215817) is registered to Sandhill Solution (UK) Limited, while the authorized AS in the ROA (AS834) belongs to IPXO LLC, an IP leasing provider. No direct organizational or provider‑customer relationship is evident, but the prefix transfer and the possibility of delegated or upstream‑downstream announcements suggest a multi‑origin scenario that can produce RPKI‑invalid announcements without malicious intent.","Delegated/upstream‑downstream announcement following a prefix transfer or ownership change, leading to a multi‑origin situation.","['Prefix Transfer / Ownership Change', 'Delegated / Upstream-Downstream Announcements', 'Third-Party Announcements (CDNs, DDoS mitigation, cloud edges)', 'Others (Regional Operational Practices)', 'Multi-Origin with Partial ROA Coverage']",,
179.61.151.0/24,N/A,AS40676,['AS212238'],Medium,"While there is no documented provider‑customer, sibling, or same‑organization link between AS40676 and the authorized AS212238, both operate in the United States and the prefix has historically been announced by AS212238, indicating a possible upstream/downstream delegation or recent ownership transfer that has not been reflected in the ROA.",Possible upstream/downstream delegation or recent prefix ownership transfer without updated ROA.,"['Hijacks', 'Delegated / Upstream-Downstream Announcements', 'Third-Party Announcements (CDNs, DDoS mitigation, cloud edges)', 'Prefix Transfer / Ownership Change', 'Multi-Origin with Partial ROA Coverage']",,
179.61.209.0/24,N/A,AS61317,['AS64267'],Medium,"The origin AS61317 and the authorized AS64267 have nearby AS numbers within the same ARIN allocation, suggesting a possible operational link such as a recent prefix transfer or delegation. However, no explicit customer‑provider or same‑organization relationship is evident, and the lack of AS‑path data prevents confirming a strong tie. Consequently, the conflict could stem from a benign misconfiguration related to ownership change rather than a malicious hijack.",Recent prefix transfer or delegation between related ASes not reflected in the ROA.,"['Prefix Transfer / Ownership Change', 'Delegated / Upstream-Downstream Announcements', 'Others (Potential Unrecorded or Complex Peering Arrangement)', 'Multi-Origin with Partial ROA Coverage']",,
179.97.242.0/24,N/A,AS266990,['AS28300'],High,"Both AS266990 and the authorized AS28300 are Brazilian ISPs, and RIPEstat and IRR data indicate a close provider‑customer relationship, with AS266990 likely operating as a downstream customer of AS28300. The ROA covers a larger prefix that includes the announced /24, suggesting a delegated announcement rather than a malicious hijack.",Delegated upstream-downstream announcement from a customer to its provider.,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Prefix Transfer / Ownership Change']",,
180.178.65.0/24,N/A,AS7474 (OPTUSCOM-AS01-AU SingTel Optus Pty Ltd),['AS55923 (CBSAPL-AS-AP Canon Business Services Australia)'],High,"Both the origin AS (AS7474) and the authorized AS (AS55923) are registered in Australia, indicating close geographic proximity. AS7474 has been announcing this prefix since 2011, and the ROA covers the less specific /22 prefix, making the /24 a legitimate delegated sub‑prefix. IRR records show an intentional setup, and the relationship between a major telecom provider and a business‑services customer suggests a provider‑customer or upstream‑downstream arrangement, supporting a benign configuration rather than a malicious hijack.","Delegated upstream-downstream announcement, likely reflecting a provider‑customer relationship.","['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",,
181.214.183.0/24,N/A,AS834,['AS212238'],Medium,"The origin AS834 and the authorized AS212238 have no direct customer‑provider, sibling, or same‑organization relationship evident from the data. However, the IRR maintainer object MAINT‑AS834 is associated with AS212238, indicating a possible administrative or operational link. The prefix is primarily announced by the authorized AS, and AS834 occasionally announces other prefixes, suggesting the conflict may stem from delegated or upstream‑downstream arrangements rather than a malicious hijack, though the evidence is not strong enough to deem it fully benign.",Delegated/upstream‑downstream announcement resulting in a multi‑origin prefix with partial ROA coverage,"['Prefix Transfer / Ownership Change', 'Hijacks', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",,
181.214.232.0/24,N/A,AS834,['AS212238'],Medium,"There is no direct provider‑customer, sibling, or same‑organization relationship between AS834 and AS212238, but IRR records show a maintainer object (MAINT‑AS834) linked to the prefix and associated with AS212238, indicating a possible administrative or operational connection. The prefix has previously been announced by AS212238, and AS834 appears as a maintainer, suggesting a potential benign conflict due to misconfiguration or partial ROA coverage, though concrete evidence of a strong relationship is lacking.","Multi‑origin announcement with partial ROA coverage, possibly due to delegated or upstream‑downstream relationship and misconfiguration.","['Hijacks', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential Administrative/Operational Link via Maintainer Object)']",,
181.214.50.0/24,N/A,AS834,['AS212238'],High,"RIPEstat data shows a route object for the prefix with the maintainer set to MAINT-AS834, indicating a direct administrative delegation between AS834 and the authorized AS212238. Historical routing shows AS212238 as the consistent origin, while AS834 also announces the prefix, likely as an upstream/downstream delegate. This relationship suggests a provider‑customer or sibling arrangement rather than a malicious hijack.",Delegated/upstream-downstream announcements due to incomplete ROA configuration reflecting the administrative relationship between the ASes.,"['Hijacks', 'Prefix Transfer / Ownership Change', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",,
181.214.85.0/24,N/A,AS834,['AS212238'],High,"AS834 and AS212238 have a close provider‑customer relationship; AS834 is a known transit provider and AS212238 (CDNEXT – Datacamp Limited) is its customer. RIPEstat shows the route object maintainer is MAINT‑AS834, indicating an administrative link. This suggests the announcement is a delegated or upstream‑downstream announcement rather than a malicious hijack, making the conflict likely benign.",Delegated/upstream‑downstream announcement due to the operational relationship between AS834 and its customer AS212238.,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",,
181.215.107.0/24,N/A,AS61317,['AS9009'],Medium,"AS61317 and the authorized AS9009 are both RIPE‑registered entities with overlapping geographic presence and a history of both announcing the 181.215.107.0/24 prefix. The situation likely stems from delegated or upstream‑downstream arrangements and multi‑origin usage, but there is no concrete evidence of a same‑organization, customer‑provider, or sibling relationship.",Delegated/upstream‑downstream or multi‑origin announcement resulting in partial ROA coverage.,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Third-Party Announcements (e.g., CDNs, cloud edges)', 'Others (Potential Missing ROA Configuration for Delegated Announcements)', 'Prefix Transfer / Ownership Change']",,
181.215.116.0/24,N/A,AS61317,['AS9009'],Medium,"The origin AS61317 and the authorized AS9009 are both active RIPE‑NCC registered operators that have previously announced the 181.215.116.0/24 prefix. The prefix has been seen from both ASes, suggesting a possible delegation or upstream‑downstream arrangement or a third‑party service (e.g., hosting or DDoS mitigation) that causes multi‑origin announcements. No explicit provider‑customer, sibling, or same‑organization relationship is documented, so the evidence points to a likely benign misconfiguration rather than a malicious hijack, but the relationship is not strongly confirmed.",Delegated/upstream‑downstream announcement or third‑party service causing a multi‑origin conflict.,"['Delegated / Upstream-Downstream Announcements', 'Prefix Transfer / Ownership Change', 'Third-Party Announcements (CDNs, DDoS mitigation, cloud edges)', 'Multi-Origin with Partial ROA Coverage']",,
181.215.119.0/24,N/A,AS61317,['AS9009'],Medium,"Both AS61317 and AS9009 are active network providers in the RIPE NCC region. The prefix was previously announced by AS9009 and is now being announced by AS61317, suggesting a possible transfer of ownership or delegated upstream/downstream arrangement. The lack of explicit business relationship data and the presence of multi‑origin behavior indicate a moderate likelihood that the ROA mismatch is a benign configuration issue rather than a malicious hijack.",Prefix transfer or delegated upstream/downstream announcements resulting in partial ROA coverage.,"['Prefix Transfer / Ownership Change', 'Delegated / Upstream-Downstream Announcements', 'Third-Party Announcements (CDNs, cloud edges, hosting)', 'Others (Potential incomplete ROA setup for complex inter-AS relationships)', 'Multi-Origin with Partial ROA Coverage']",,
181.215.124.0/24,N/A,AS61317,['AS9009'],Medium,"The origin AS61317 and the authorized AS9009 are both active network operators. Historical data shows that AS9009 previously announced the prefix, and AS61317 began announcing it in 2022, suggesting a possible delegated or upstream‑downstream arrangement. Geolocation information from one source places both in Chicago, indicating potential regional proximity, but other evidence points to differing primary locations, and no explicit provider‑customer or sibling relationship is documented. The lack of AS‑path data and the presence of multiple factors such as traffic‑engineering or deaggregation further prevent a definitive classification, leading to a medium benign assessment.",Likely a delegated/upstream‑downstream announcement or traffic‑engineering/deaggregation mismatch resulting in a multi‑origin situation.,"['Delegated / Upstream-Downstream Announcements', 'Traffic Engineering / Deaggregate Mismatches', 'Prefix Transfer / Ownership Change (less likely given the available transfer history)', 'Multi-Origin with Partial ROA Coverage']",,
181.215.130.0/24,N/A,AS61317,['AS9009'],Medium,"The origin AS61317 and the authorized AS9009 are both active RIPE‑NCC members that have historically announced the 181.215.130.0/24 prefix. The prefix has appeared under both ASes, suggesting a legacy multi‑origin or delegated upstream/downstream arrangement, possibly related to a recent transfer or traffic‑engineering deaggregation that has not been reflected in the ROA. No clear evidence of a same‑organization or strong provider‑customer relationship is present, so the conflict is likely benign but not definitively so.","The invalid route likely results from a legacy multi‑origin or delegated upstream/downstream arrangement (e.g., recent prefix transfer or traffic‑engineering deaggregation) that is not reflected in the current ROA.","['Prefix Transfer / Ownership Change', 'Delegated / Upstream-Downstream Announcements', 'Traffic Engineering / Deaggregate Mismatches', 'Multi-Origin with Partial ROA Coverage']",,
181.215.132.0/24,N/A,AS61317,['AS9009'],Medium,"There is no clear evidence of a same‑organization or strong provider‑customer relationship between AS61317 and the authorized AS9009; however, both operate in the RIPE region and AS9009 has previously announced the prefix, suggesting a possible delegated or upstream/downstream arrangement or a recent ownership transfer. The lack of explicit business ties keeps the assessment at a medium confidence of a benign conflict.",Possible delegated/upstream announcement or recent prefix ownership transfer.,"['Hijacks', 'Delegated / Upstream-Downstream Announcements', 'Third-Party Announcements (e.g., hosting, cloud edges)', 'Prefix Transfer / Ownership Change', 'Multi-Origin with Partial ROA Coverage']",,
181.215.238.0/24,N/A,AS61317,['AS64267'],Medium,"There is no clear evidence of a direct business or organizational relationship between AS61317 and the authorized AS64267; they belong to different entities and no provider‑customer or sibling link is apparent. However, the nature of the RPKI validation error and the presence of factors such as possible recent prefix ownership transfer, delegated upstream announcements, and third‑party service usage suggest the invalid route may stem from a misconfiguration or operational overlap rather than an outright hijack.",The invalid route likely results from a misconfiguration or recent prefix ownership change rather than a deliberate hijack.,"['Hijacks', 'Others', 'Multi-Origin with Partial ROA Coverage', 'Delegated / Upstream-Downstream Announcements', 'Prefix Transfer / Ownership Change', 'Third-Party Announcements (CDNs, DDoS mitigation, cloud edges)']",,
181.215.73.0/24,N/A,AS16509,['AS834'],Medium,"The origin AS (AS16509, Amazon) and the authorized AS in the ROA (AS834, IPXO) belong to different organizations with no direct same‑owner relationship. The prefix has a history of ownership transfers and may be announced through third‑party or upstream/downstream arrangements (e.g., cloud edge services), which can cause RPKI invalidation despite legitimate use.",Third‑party or delegated upstream/downstream announcement causing RPKI invalidation.,"['Prefix Transfer / Ownership Change', 'Delegated / Upstream-Downstream Announcements', 'Third-Party Announcements (CDNs, DDoS mitigation, cloud edges)', 'Others (Complex Operational Setups due to Historical Resource Transfers)', 'Hijacks']",,
181.41.212.0/24,N/A,AS61317,['AS64267'],Medium,"There is no evidence of a direct customer‑provider, sibling, or same‑organization relationship between AS61317 and the authorized AS64267. Both ASes announce address space within the broader 181.0.0.0/8 block, and the prefix has undergone multiple transfers, suggesting a complex ownership history. No overt malicious indicators such as known hijack patterns or suspicious AS‑path behavior are observed, but the lack of specific transfer records or path data prevents a higher confidence assignment.",Potential misconfiguration or undocumented prefix transfer/ownership change.,"['Hijacks', 'Others', 'Prefix Transfer / Ownership Change', 'Multi-Origin with Partial ROA Coverage', 'Others (Possible Undocumented Relationship Change)']",,
185.155.55.0/24,N/A,AS205320,['AS834'],Medium,"AS205320 announces a /24 within the /23 range authorized to AS834. There is no direct evidence of a same‑organization or customer‑provider link; however, the situation may stem from a delegated or transferred prefix, or from a multi‑origin configuration that is not fully covered by ROAs. The prefix is geolocated to the UK, suggesting regional proximity, but the ASes are registered in different RIRs, indicating only an indirect operational connection.",Possible delegated or transferred prefix announcement causing an ROA mismatch.,"['Delegated / Upstream-Downstream Announcements', 'Prefix Transfer / Ownership Change', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential Misconfiguration or Incomplete ROA Setup)']",,
185.191.21.0/24,N/A,AS201670,['AS834'],Medium,"The prefix has undergone multiple transfers, with the current holder in Slovenia and the announcing AS based in Romania. Although the origin AS (AS201670) and the authorized AS (AS834) belong to different organizations and lack a documented direct relationship, the geographic proximity and recent ownership changes suggest a possible operational link, leading to a medium likelihood of a benign conflict rather than a clear hijack.",Prefix transfer or ownership change causing a misconfiguration.,"['Hijacks', 'Prefix Transfer / Ownership Change', 'Delegated / Upstream-Downstream Announcements', 'Others (Potential Misconfiguration or Unreflected Changes in AS Relationships)', 'Multi-Origin with Partial ROA Coverage']",,
185.226.154.0/24,N/A,AS205663,['AS834'],Medium,"The route is RPKI‑invalid because the announced /24 is more specific than the /23 authorized in the ROA for AS834. Although AS205663 (Cloud Metric Inc.) and AS834 have no confirmed provider‑customer or organizational link, the prefix has been transferred multiple times within Spain and was previously originated by AS834, indicating a possible delegated or upstream‑downstream arrangement and historical multi‑origin usage. These factors suggest a misconfiguration rather than a malicious hijack, but the lack of a strong relationship keeps the benign confidence at a moderate level.",The conflict likely stems from a delegated or upstream‑downstream announcement following a prefix transfer.,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential Complex Network Setup or ROA Misconfiguration)', 'Prefix Transfer / Ownership Change']",,
185.245.40.0/24,N/A,AS174,"['AS30058', 'AS213220', 'AS215305', 'AS55933']",High,"AS174 (Cogent Communications) is a Tier‑1 ISP that commonly provides upstream transit to many smaller networks. The authorized ASes (AS30058, AS213220, AS215305, AS55933) are likely downstream customers or entities that rely on Cogent for transit, making the announcement a plausible delegated or upstream‑downstream announcement rather than a malicious hijack. Historical data shows the prefix has been associated with these ASes, and Cogent’s role as their provider explains the RPKI‑invalid announcement without indicating hostile intent.",Delegated / Upstream-Downstream Announcements,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Hijacks']",,
185.33.47.0/24,N/A,AS200697,['AS199826'],Low,"The origin AS200697 (a Russian university) and the authorized AS199826 (an Iraqi telecommunications company) belong to different organizations and countries, with no evidence of shared infrastructure, business relationship, or delegation, indicating the announcement is likely a hijack rather than a benign conflict.",Likely BGP hijack.,"['Hijacks', 'Others (Potential Unrecorded Transfer/Agreement or Misconfiguration)', 'Multi-Origin with Partial ROA Coverage (Speculative, due to lack of AS path information)']",,
