prefix,AS_path,origin_AS,authorized_ASes_in_ROAs,benign_level,explanation,possible_reason,factors,justification
168.121.159.0/24,N/A,AS203,['AS263421'],Low,"The origin AS203 (associated with Level 3 Parent, LLC) and the authorized AS263421 (a Brazilian ISP, NR CONEXOES) show no confirmed provider‑customer, organizational, or geographic ties; no transfer or ownership history links them, and the only suggested connection is a generic upstream/downstream announcement, which lacks supporting evidence, making the conflict more consistent with a hijack.",Hijack due to lack of known relationship between the origin and authorized ASes.,"['Prefix Transfer / Ownership Change', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Hijacks']",no relationship
168.194.248.0/23,N/A,AS265414,['AS269359'],High,"The origin AS (AS265414) is not actively announcing prefixes, while the authorized AS (AS269359) is actively present. IRR records indicate a customer‑provider (delegated/upstream‑downstream) relationship, and the /23 is a more specific of a /22 announced by AS269359, suggesting a delegated or historical transfer. These factors point to a likely benign misconfiguration rather than a malicious hijack.",Misconfiguration in a delegated customer‑provider relationship.,"['Delegated / Upstream-Downstream Announcements', 'Others', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential Misconfiguration or Incomplete ROA Setup)', 'Prefix Transfer / Ownership Change']",strong relationship
168.194.248.0/24,N/A,AS265414,['AS269359'],Medium,"The origin AS AS265414 is not currently announcing prefixes and has no publicly documented relationship with the authorized AS AS269359, but both ASes are LACNIC‑assigned and the /24 is a more specific of prefixes announced by AS269359. Historical announcements by both parties suggest a possible ownership or configuration overlap, indicating a likely benign conflict rather than a clear hijack.",Possible misconfiguration or ownership transfer leading to multi‑origin announcements.,"['Hijacks', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential Misconfiguration or Incomplete ROA Setup)', 'Prefix Transfer / Ownership Change']",same region
168.194.249.0/24,N/A,AS265414,['AS269359'],High,"The origin AS 265414 appears to be a downstream customer of the authorized AS 269359. IRR records show a proxy route indicating a provider‑customer relationship, and both ASes are located in the same region (Goiânia, Brazil) and announce the same /24 prefix and its less specific aggregates, suggesting coordinated announcements. This operational linkage makes the ROA mismatch a likely benign configuration rather than a malicious hijack.","The prefix is announced by a downstream customer under a delegated/upstream‑downstream arrangement, resulting in partial ROA coverage.","['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Prefix Transfer / Ownership Change']",strong relationship
168.194.250.0/23,N/A,AS265414,['AS269359'],Medium,"The origin AS265414 currently does not announce any prefixes, while the authorized AS269359 actively announces the broader /22 prefix. The /23 announced by AS265414 is a more specific of the /22 held by AS269359, suggesting a possible prefix transfer or misconfiguration. No direct provider‑customer, sibling, or organizational link is evident between the two ASes, only a shared registry (LACNIC). Consequently, the conflict is likely due to operational issues rather than a malicious hijack, yielding a medium benign likelihood.",Possible misconfiguration or prefix ownership transfer causing a ROA mismatch.,"['Delegated / Upstream-Downstream Announcements', 'Prefix Transfer / Ownership Change', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential Misconfiguration or Incomplete ROA Setup)']",weak relationship
168.194.250.0/24,N/A,AS265414,['AS269359'],Medium,"The origin AS265414 currently does not announce any prefixes, while the authorized AS269359 actively announces the prefix and its broader /22 block. Both ASes are allocated by LACNIC and have historically announced the prefix, suggesting a possible upstream‑downstream or historical ownership relationship, but no direct evidence of a same‑organization or confirmed customer‑provider link is available.",Likely a delegated upstream‑downstream announcement or recent prefix ownership transfer leading to misconfiguration.,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential Misconfiguration or Incomplete ROA Setup)', 'Prefix Transfer / Ownership Change']",weak relationship
168.194.251.0/24,N/A,AS265414,['AS269359'],Medium,"The origin AS (AS265414) is not currently announcing any prefixes, while the authorized AS (AS269359) actively announces the broader prefix and related more specific prefixes. This suggests a possible upstream-downstream or delegated relationship, but there is no direct evidence of a provider‑customer, sibling, or same‑organization link, leading to a medium likelihood that the conflict is benign.","Delegated/upstream-downstream announcements, possibly resulting from misconfiguration or partial ROA coverage.","['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential Misconfiguration or Incomplete ROA Setup)']",weak relationship
168.228.86.0/24,N/A,AS266990,['AS264906'],Medium,"Both the origin AS (AS266990) and the authorized AS (AS264906) are located in Brazil and are registered under LACNIC, indicating a regional relationship. The most plausible explanation is a delegated or upstream‑downstream announcement where the customer AS is not listed in the ROA, leading to a misconfiguration rather than malicious intent. No direct evidence of ownership or strong business ties is available, but the geographic and registry proximity suggests a possible benign conflict.",Delegated/upstream-downstream announcement misconfiguration between closely related ASes.,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Third-Party Announcements (CDNs, cloud edges, etc.)']",same region
168.232.198.0/24,N/A,AS266092,['AS264948'],Medium,"Both the origin AS (AS266092) and the authorized AS in the ROA (AS264948) are registered in Brazil and belong to the LACNIC region, indicating geographic proximity. IRR records contain a remark referencing a downstream client of CENTURY TELECOM, suggesting a possible customer‑provider relationship, but no explicit CAIDA or registry data confirms a direct provider‑customer, sibling, or organizational link. Consequently, while a relationship is plausible, the evidence is insufficient for a high confidence benign classification, leading to a medium benign level.",Potential downstream delegation or multi-origin announcement caused by a misconfiguration.,"['Hijacks', 'Others', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",same region
170.238.191.0/24,N/A,AS53181,['AS266332'],Medium,"Both AS53181 and AS266332 are Brazilian operators registered in LACNIC, and AS266332 holds the covering prefix 170.238.188.0/22 while AS53181 announces the more specific 170.238.191.0/24. IRR data suggests a possible customer‑provider relationship, but there is no direct evidence of a strong contractual link, and the AS path information is unavailable, leaving the relationship uncertain.",Delegated/upstream-downstream announcement (possible multi‑origin or partial ROA coverage),"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential Operational/Business Relationship not fully reflected in available data)', 'Traffic Engineering / Deaggregate Mismatches']",same region
170.78.231.0/24,N/A,AS273357,['AS266280'],High,"AS273357 announces a more specific /24 that falls within the /22 prefix authorized to AS266280; the RIPEstat route object labels the prefix as a route proxy for AS266280, indicating a delegated upstream‑downstream arrangement. Both ASes are registered in Brazil and likely share a provider‑customer or organizational relationship, making the invalidity a benign configuration rather than a malicious hijack.",Delegated upstream‑downstream announcement where AS273357 proxies traffic for AS266280,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Traffic Engineering / Deaggregate Mismatches']",strong relationship
170.81.167.0/24,N/A,AS53181,['AS266418'],Medium,"Both AS53181 and the authorized AS266418 are registered in Brazil and belong to the same regional internet registry (LACNIC), indicating close geographic proximity. The announced /24 is a sub‑prefix of the ROA’s prefix, which can result from delegated upstream‑downstream arrangements or a recent prefix ownership change. No direct provider‑customer, sibling, or same‑organization relationship is evident, suggesting only an indirect operational link.",Delegated upstream‑downstream announcement possibly due to traffic engineering or recent prefix ownership change.,"['Delegated / Upstream-Downstream Announcements', 'Traffic Engineering / Deaggregate Mismatches', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential Misconfiguration or Incomplete ROA Setup)', 'Prefix Transfer / Ownership Change']",same region
172.252.133.0/24,N/A,AS60721,['AS214238'],Medium,"The origin AS60721 and the authorized AS214238 are in different countries and there is no known direct organizational or provider‑customer relationship; the prefix is likely being announced by AS60721 under a delegated or upstream‑downstream arrangement or as a secondary origin, resulting in a partial ROA match. While no clear hijack signatures are present, the lack of strong linkage keeps the benign likelihood at Medium.",Delegated/upstream‑downstream announcements or multi‑origin with partial ROA coverage.,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential Misconfiguration or Incomplete ROA Setup)']",no relationship
172.252.158.0/24,N/A,AS211256,['AS214271'],Low,"The origin AS (AS211256, ELTA‑SI in Slovenia) and the authorized AS in the ROA (AS214271, QT Network Ltd in the United States) have no evident organizational, contractual, or geographic linkage; they belong to different companies, are located on different continents, and there is no known provider‑customer, sibling, or shared‑infrastructure relationship. While both ASes have some presence in Europe, this indirect overlap is insufficient to suggest a benign conflict.","Likely a hijack or misconfiguration, possibly due to an upstream/downstream or third‑party announcement not reflected in the ROA.","['Hijacks', 'Delegated / Upstream-Downstream Announcements', 'Third-Party Announcements (CDNs, cloud edges)', 'Others (Potential Regional/Indirect Partnership without clear evidence)', 'Misconfiguration']",no relationship
172.252.159.0/24,N/A,AS60721,['AS214238'],Medium,"The origin AS60721 and the authorized AS214238 belong to different organizations and there is no clear provider‑customer, sibling, or same‑organization relationship. Both operate in Europe (AS60721 is RIPE‑registered and AS214238 is based in France), suggesting a possible upstream/downstream or hosting/telecom service arrangement, which is a common benign scenario. The absence of direct AS‑path evidence prevents confirming a strong relationship, leaving the situation as a possible benign conflict.",Delegated/upstream‑downstream or third‑party hosting/telecom announcement.,"['Hijacks', 'Others', 'Delegated / Upstream-Downstream Announcements', 'Third-Party Announcements (CDNs, DDoS mitigation, cloud edges, or similar hosting/telecom services)', 'Multi-Origin with Partial ROA Coverage']",same region
173.245.64.0/22,N/A,AS18530,"['AS10557', 'AS18779']",Medium,"The origin AS18530 appears to be announcing the prefix on behalf of the authorized AS10557, suggested by RIPEstat data that labels the prefix as a customer route, indicating a possible provider‑customer delegation. However, there is no direct confirmation of a relationship between AS18530 and the authorized ASes, and AS18779 also has historical presence, leaving some uncertainty about the legitimacy of the announcement.",Delegated / Upstream-Downstream Announcement,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Prefix Transfer / Ownership Change', 'Hijacks']",weak relationship
177.11.69.0/24,N/A,AS271624,['AS262872'],Medium,"Both the origin AS (AS271624) and the authorized AS (AS262872) are registered in Brazil under LACNIC and the announced /24 is a subprefix of the authorized /21, indicating a possible upstream-downstream relationship. However, there is no direct evidence of a provider‑customer, sibling, or ownership link, and the situation could simply be a ROA misconfiguration between closely related operators.",Delegated upstream-downstream announcement with a possible ROA misconfiguration.,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential Misconfiguration between related ASes)']",weak relationship
177.73.129.0/24,N/A,AS267047,['AS271624'],High,"Both AS267047 and AS271624 are registered in Brazil, with the prefix geolocated to Pedro Velho, indicating they operate in the same region. IRR records for AS271624 contain descriptions such as ""CLARO S.A. Customer,"" suggesting a provider‑customer relationship with the origin AS. Although the AS path is unavailable, the geographic proximity and inferred business relationship point to a benign conflict, likely caused by delegated or upstream‑downstream announcements or traffic‑engineering practices.",Delegated/upstream‑downstream announcement or multi‑origin with partial ROA coverage.,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential Misconfiguration between Related ASes)', 'Prefix Transfer / Ownership Change']",strong relationship
178.236.228.0/24,N/A,AS23674,['AS35916'],Medium,"The origin AS23674 announces the prefix while the ROA authorizes AS35916, creating a validation mismatch. IRR data suggests a possible delegated or upstream‑downstream relationship, and both ASes operate in the Asia‑Pacific region, but there is no evidence of common ownership, direct provider‑customer ties, or close geographic proximity. The prefix has been announced by both ASes at different times, indicating a multi‑origin situation that could stem from traffic engineering or an outdated ROA, making the conflict only partially explainable by benign operational practices.",Delegated/upstream‑downstream announcement or multi‑origin configuration leading to partial ROA coverage.,"['Delegated / Upstream-Downstream Announcements', 'Prefix Transfer / Ownership Change', 'Traffic Engineering / Deaggregate Mismatches', 'Multi-Origin with Partial ROA Coverage']",weak relationship
179.125.14.0/24,N/A,AS270898,['AS271737'],High,"The origin AS270898 shows little or no recent activity and appears to be a legacy holder, while the authorized AS271737 is actively announcing the prefix after a documented ownership transfer. Both ASes are registered in the same regional registry (LACNIC) and the transfer history, along with IRR records, suggests a close operational relationship such as customer‑provider or sibling. The invalid announcement is therefore best explained by a misconfiguration or outdated ROA following the prefix transfer, indicating a benign conflict rather than a malicious hijack.",Misconfigured or outdated ROA after a prefix ownership transfer from AS270898 to AS271737.,"['Prefix Transfer / Ownership Change', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",strong relationship
179.61.142.0/24,N/A,AS142519,['AS212238'],Low,"There is no evidence of a close relationship between AS142519 (Smtpmailers Pvt Ltd, India) and AS212238 (CDNEXT - Datacamp Limited, Germany). The organizations are in different regions and no customer‑provider, sibling, or other operational linkage is known. The lack of supporting context and the nature of the RPKI validation error suggest the invalid announcement is unlikely to be a benign misconfiguration, indicating a low likelihood of a benign conflict.",Likely a hijack.,"['Hijacks', 'Multi-Origin with Partial ROA Coverage', 'Delegated / Upstream-Downstream Announcements', 'Others (Potential Misconfiguration or Incomplete Public Records)']",no relationship
179.61.164.0/24,N/A,AS834,['AS212238'],Medium,"There is no direct provider‑customer, sibling, or same‑organization link between AS834 and AS212238. Both ASes have previously announced the prefix and AS834 appears as a maintainer in the IRR records for the prefix, indicating a possible administrative or delegated relationship. This circumstantial evidence points to a benign misconfiguration rather than a malicious hijack, but the lack of strong relationship evidence limits confidence to a medium level.","Multi-origin announcement with partial ROA coverage, likely due to a configuration or delegation issue.","['Prefix Transfer / Ownership Change', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential Administrative Linkage via Maintainer Object)']",weak relationship
179.61.209.0/24,N/A,AS61317,['AS64267'],Low,"There is no evidence of a close relationship between AS61317 and the authorized AS64267; they belong to different organizations, with no known customer‑provider or sibling link, and the /24 prefix has historically been originated by AS64267. The announcement by AS61317 lacks supporting context such as a documented transfer or shared infrastructure, making the invalid route most consistent with a hijack rather than a benign misconfiguration.",Likely BGP hijack due to mismatched origin AS without a known relationship.,"['Hijacks', 'Multi-Origin with Partial ROA Coverage', 'Delegated / Upstream-Downstream Announcements', 'Prefix Transfer / Ownership Change']",no relationship
179.61.213.0/24,N/A,AS61317,['AS212238'],Medium,"Both AS61317 and the authorized AS212238 are active RIPE‑registered entities that have historically announced different prefixes, and the /24 in question has primarily been announced by AS212238 with a recent announcement by AS61317. There is no clear evidence of a direct organizational or provider‑customer relationship, but the possibility of a delegated arrangement or recent ownership transfer cannot be ruled out, and no malicious intent is apparent.",Possible prefix transfer or misconfiguration leading to a multi‑origin announcement with partial ROA coverage.,"['Prefix Transfer / Ownership Change', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential Misconfiguration due to Complexity of Global Routing)']",weak relationship
179.61.247.0/24,N/A,AS834,['AS212238'],Medium,"The origin AS834 and the authorized AS212238 show signs of an operational link: the prefix has been announced by both ASes, AS834 appears as a maintainer in the IRR for the prefix, and the relationship could be a delegated upstream‑downstream arrangement, but there is no clear evidence of a direct provider‑customer or same‑organization tie. Consequently the conflict is assessed as likely benign but only with moderate confidence.",Delegated/upstream-downstream announcements with multi-origin partial ROA coverage,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential Administrative Link via Maintainer Object)']",weak relationship
179.63.23.0/24,N/A,AS52468,"['AS19169', 'AS27947', 'AS264668', 'AS271837']",Medium,"The origin AS AS52468 is not listed in the ROA, which authorizes AS19169, AS27947, AS264668, and AS271837. All these ASes operate in the Latin American region (Ecuador, Panama) and are registered under LACNIC, suggesting a regional operational context. The announcement may stem from delegated or upstream‑downstream relationships and a multi‑origin situation with partial ROA coverage, but there is no direct evidence of a strong organizational or provider‑customer tie, leading to a Medium benign assessment.",Delegated/upstream-downstream announcements leading to multi-origin with partial ROA coverage.,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Prefix Transfer / Ownership Change']",same region
180.178.65.0/24,N/A,AS7474 (OPTUSCOM-AS01-AU SingTel Optus Pty Ltd),['AS55923 (CBSAPL-AS-AP Canon Business Services Australia)'],High,"The origin AS (AS7474, a large telecom provider) and the authorized AS (AS55923, a business services customer) are both registered in Australia, indicating close geographic proximity. This suggests a provider‑customer relationship, and the ROA authorizes AS55923 while the announcement comes from AS7474, likely due to delegated upstream announcements or traffic engineering, a common benign configuration.",Delegated upstream/downstream announcement,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",strong relationship
181.214.183.0/24,N/A,AS834,['AS212238'],Medium,"The announcement from AS834 conflicts with the ROA that authorizes AS212238. Although no direct provider‑customer or same‑organization link is evident, the presence of a maintainer object (MAINT‑AS834) associated with the prefix and indications of upstream/downstream delegation or recent prefix transfer suggest an operational relationship between the two ASes, making the conflict likely due to misconfiguration rather than a malicious hijack.",Operational misconfiguration or delegated upstream announcement.,"['Prefix Transfer / Ownership Change', 'Delegated / Upstream-Downstream Announcements', 'Third-Party Announcements (e.g., CDNs, DDoS mitigation, cloud edges)', 'Multi-Origin with Partial ROA Coverage', 'Traffic Engineering / Deaggregate Mismatches']",weak relationship
181.214.212.0/24,N/A,AS61317,['AS200506'],Medium,"The announcement by AS61317 is RPKI‑invalid because the ROA authorizes AS200506. Both ASes are registered in the same regional internet registry (RIPE NCC) and the prefix is geolocated in the United Arab Emirates, indicating geographic proximity. The prefix has undergone a transfer between registries, suggesting a possible business or operational link, and the situation may involve delegated or upstream‑downstream announcements with partial ROA coverage. However, there is no concrete evidence of a direct provider‑customer, sibling, or same‑organization relationship, making the conflict only moderately likely to be benign.",Likely a misconfiguration due to delegated/upstream‑downstream announcements or a recent prefix transfer resulting in partial ROA coverage.,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential Misconfiguration or Incomplete ROA Setup)', 'Prefix Transfer / Ownership Change']",same region
181.214.232.0/24,N/A,AS834,['AS212238'],Medium,"The origin AS834 and the authorized AS212238 show circumstantial evidence of a relationship, such as a shared maintainer object in IRR records and historical announcements, suggesting a possible delegated or upstream‑downstream arrangement, but no direct provider‑customer, sibling, or same‑organization link is confirmed.",Delegated/upstream‑downstream announcement or multi‑origin configuration leading to partial ROA coverage.,"['Delegated / Upstream-Downstream Announcements', 'Third-Party Announcements (CDNs, DDoS mitigation, cloud edges)', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential Administrative/Operational Link via IRR Records)']",weak relationship
181.214.50.0/24,N/A,AS834,['AS212238'],High,"RIPEstat data shows a route object for the prefix with the maintainer set to MAINT-AS834, indicating that AS834 directly maintains the prefix owned by AS212238. This suggests a provider‑customer or sibling relationship, making the invalid announcement likely a benign delegated/upstream‑downstream announcement rather than a malicious hijack.",Delegated/upstream‑downstream announcement caused by a misconfiguration within a related administrative domain.,"['Hijacks', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Traffic Engineering / Deaggregate Mismatches']",strong relationship
181.214.85.0/24,N/A,AS834,['AS212238'],High,"RIPEstat data shows the route object for 181.214.85.0/24 is maintained by MAINT‑AS834, and IRR records list AS834 as the maintainer of the prefix owned by AS212238 (CDNEXT – Datacamp Limited). This indicates a direct administrative or upstream‑downstream relationship between the two ASes, suggesting the announcement is a delegated or mis‑configured multi‑origin scenario rather than a malicious hijack.",Delegated or upstream-downstream announcement due to an operational relationship between AS834 and AS212238.,"['Hijacks', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",strong relationship
181.215.174.0/24,N/A,AS834,['AS212238'],Medium,"There is no evidence of a strong relationship such as same organization, customer‑provider, or sibling ties between AS834 and AS212238. However, the presence of a maintainer object linking AS834 to the prefix primarily associated with AS212238 suggests a possible administrative or operational connection, though it is not definitively confirmed.",Operational misconfiguration or delegated upstream/downstream announcement.,"['Hijacks', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",weak relationship
181.215.234.0/24,N/A,AS834,['AS212238'],Medium,"AS834 and the authorized AS212238 show signs of an operational link, such as a shared maintainer object in RIPEstat and indications of upstream/downstream delegation, but there is no clear evidence of a same‑organization or direct provider‑customer relationship; the prefix is primarily associated with AS212238 and both ASes are active in the same geographic region (Belgium), suggesting a possible but not definitive relationship.",Delegated/upstream-downstream announcements with partial ROA coverage.,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",weak relationship
181.215.238.0/24,N/A,AS61317,['AS64267'],Medium,"The route is invalid because the origin AS does not match the AS authorized in the ROA, but both AS61317 and AS64267 are legitimate operators with normal visibility. No direct business or organizational relationship is evident, and the lack of AS‑path information prevents further correlation. The most plausible explanation is a benign misconfiguration, likely stemming from a recent prefix or ownership transfer that has not been reflected in the ROA, resulting in partial ROA coverage rather than malicious intent.",Misconfiguration due to recent prefix transfer or ownership change leading to partial ROA coverage.,"['Prefix Transfer / Ownership Change', 'Multi-Origin with Partial ROA Coverage', 'Delegated / Upstream-Downstream Announcements', 'Traffic Engineering / Deaggregate Mismatches']",weak relationship
181.215.35.0/24,N/A,AS834,['AS212238'],Medium,"No direct provider‑customer or same‑organization relationship is evident between AS834 and AS212238, but the presence of a maintainer object MAINT‑AS834 linked to AS212238's resources and the history of the prefix being announced by both ASes suggest a possible administrative or operational connection, indicating a likely benign misconfiguration rather than a clear hijack.","Likely a delegated/upstream‑downstream multi‑origin situation with partial ROA coverage, possibly due to misconfiguration.","['Hijacks', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",weak relationship
181.215.4.0/24,N/A,AS834,['AS272696'],Medium,"The origin AS834 and the authorized AS272696 are distinct entities with no known direct provider‑customer or sibling relationship. However, a maintainer object (MAINT‑AS834) associated with the prefix appears in RIPEstat data linked to AS272696’s resources, indicating a possible administrative or operational connection. In the absence of concrete evidence of a strong business tie, the situation is best regarded as a potential benign conflict of medium likelihood.",The conflict likely stems from an operational misconfiguration or a delegated upstream/downstream announcement causing partial ROA coverage.,"['Hijacks', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Traffic Engineering / Deaggregate Mismatches']",weak relationship
181.215.54.0/24,N/A,AS211432,['AS211439'],Medium,"Both AS211432 and AS211439 are assigned by RIPE NCC and belong to the same AS number block, suggesting geographic proximity and possible operational linkage. The prefix is normally announced by AS211439, while AS211432 appears to announce it without a matching ROA, indicating a likely delegated or upstream/downstream relationship. However, there is no concrete evidence of a direct provider‑customer, sibling, or same‑organization relationship, leaving the benign nature uncertain but plausible.",Delegated/upstream-downstream announcements or multi‑origin with partial ROA coverage due to misconfiguration between related ASes.,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential Misconfiguration or Incomplete ROA Setup)']",weak relationship
181.215.73.0/24,N/A,AS16509,['AS834'],Low,"AS16509 (Amazon) and the authorized AS834 (IPXO LLC) have no known direct business or organizational relationship; while third‑party service usage is possible, there is insufficient evidence to support a benign explanation, making the RPKI‑invalid announcement more likely a misconfiguration or hijack.",Hijack or misconfiguration due to lack of known relationship between the ASes.,"['Prefix Transfer / Ownership Change', 'Delegated / Upstream-Downstream Announcements', 'Third-Party Announcements (CDNs, cloud edges)', 'Others (Potential for unreflected organizational affiliations or service agreements)', 'Hijacks']",no relationship
181.41.198.0/24,N/A,AS834,['AS212238'],Medium,"The origin AS834 and the authorized AS212238 show some circumstantial links, such as a shared maintainer object and possible delegated upstream‑downstream announcements, indicating a misconfiguration rather than a malicious hijack, but there is no explicit provider‑customer, sibling, or same‑organization relationship to confirm a strong benign case.",Delegated/upstream-downstream announcement with partial ROA coverage,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",weak relationship
181.41.203.0/24,N/A,AS61317,['AS212238'],Medium,"The origin AS (AS61317) and the authorized AS (AS212238) have no direct provider‑customer, sibling, or same‑organization relationship, but there is circumstantial evidence of past resource transfers and a possible hosting/services agreement, indicating some operational overlap. Both ASes are active in the routing system and the prefix has previously been announced by the authorized AS, with no clear signs of malicious intent, suggesting a medium likelihood of a benign configuration issue rather than a clear hijack.","Possible misconfiguration or delegated upstream/downstream announcement (e.g., hosting/services agreement) rather than a malicious hijack.","['Hijacks', 'Delegated / Upstream-Downstream Announcements', 'Third-Party Announcements (CDNs, DDoS mitigation, cloud edges)', 'Others (Potential Shared Hosting/Services Agreement)', 'Prefix Transfer / Ownership Change', 'Multi-Origin with Partial ROA Coverage', 'Traffic Engineering / Deaggregate Mismatches']",weak relationship
181.41.212.0/24,N/A,AS61317,['AS64267'],Medium,"The origin AS61317 and the authorized AS64267 have no known direct customer‑provider, sibling, or organizational link, and no transfer records confirm a relationship. However, the prefix was previously announced by AS64267, indicating a possible recent ownership or delegation change, and both operators have infrastructure in the United States, suggesting a regional overlap. This indirect connection and the history of multi‑origin announcements point to a likely misconfiguration rather than a deliberate hijack, though the evidence is not definitive.",Misconfiguration due to a recent prefix transfer or ownership change.,"['Hijacks', 'Delegated / Upstream-Downstream Announcements', 'Prefix Transfer / Ownership Change', 'Multi-Origin with Partial ROA Coverage']",weak relationship
185.139.236.0/24,N/A,AS834,"['AS212238', 'AS61317']",Medium,"There is no direct provider‑customer or sibling relationship between AS834 and the authorized ASes AS212238 and AS61317, but IRR records show AS834 listed as a maintainer for the prefix, indicating a possible administrative link. The prefix has previously been announced by AS61317 and is currently announced by AS212238, suggesting a multi‑origin situation. While these factors point to a circumstantial connection, the evidence is not strong enough to deem the conflict highly benign.",Multi‑Origin with Partial ROA Coverage possibly due to delegated/upstream‑downstream announcements and incomplete ROA configuration.,"['Hijacks', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",weak relationship
185.143.230.0/24,N/A,AS834,['AS212238'],Medium,"There is no direct provider‑customer or same‑organization link between AS834 and the authorized AS212238. However, both ASes appear to operate in Europe (AS212238 is registered in Germany and AS834’s announcements suggest a European presence), and the RIPEstat maintenance object for AS834 is associated with a route object for the prefix originated by AS212238, indicating a possible managed‑service or delegated upstream arrangement. While this circumstantial evidence points to a benign operational relationship, the lack of explicit contractual or ownership ties prevents a high confidence assessment.","Managed‑service or delegated upstream announcement resulting in a multi‑origin, partially covered ROA.","['Hijacks', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Third-Party Announcements (e.g., managed services)', 'Traffic Engineering / Deaggregate Mismatches']",weak relationship
185.151.146.0/24,N/A,AS211407,"['AS198100', 'AS401443']",Medium,"The announcement from AS211407 is RPKI‑invalid, but circumstantial evidence suggests a benign scenario: the prefix has a history of transfers, AS401443 is listed as the current legitimate holder, and the prefix’s geographic location is close to the region where AS211407 operates. AS198100 shows little recent activity, and there is no confirmed provider‑customer, sibling, or same‑organization relationship, only possible delegated or upstream/downstream usage.",Likely due to a recent prefix transfer or delegated upstream/downstream announcement without updated ROA entries.,"['Prefix Transfer / Ownership Change', 'Delegated / Upstream-Downstream Announcements', 'Third-Party Announcements (CDNs, cloud edges)', 'Others (Potential delayed ROA updates after network changes)', 'Multi-Origin with Partial ROA Coverage']",same region
185.155.55.0/24,N/A,AS205320,['AS834'],Medium,"The prefix 185.155.55.0/24 falls within a larger block owned by AS834, which suggests a possible upstream‑downstream or delegated relationship, but registries differ and no direct organizational link is confirmed. There is also evidence of a possible prefix transfer or ownership change and occasional multi‑origin announcements, indicating a legitimate operational need but without clear proof of a strong relationship.",Delegated/upstream-downstream announcement or prefix transfer resulting from ownership change.,"['Delegated / Upstream-Downstream Announcements', 'Third-Party Announcements (CDNs, DDoS mitigation, cloud edges)', 'Others (Potential Undocumented Business Relationship)', 'Prefix Transfer / Ownership Change', 'Multi-Origin with Partial ROA Coverage']",weak relationship
